,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,labels
0,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,0
1,Aberlour,3,3,1,0,0,4,3,2,2,3,3,2,0
2,AnCnoc,1,3,2,0,0,2,0,0,2,2,3,2,2
3,Ardbeg,4,1,4,4,0,0,2,0,1,2,1,0,1
4,Ardmore,2,2,2,0,0,1,1,1,2,3,1,1,0
5,ArranIsleOf,2,3,1,1,0,1,1,1,0,1,1,2,2
6,Auchentoshan,0,2,0,0,0,1,1,0,2,2,3,3,2
7,Auchroisk,2,3,1,0,0,2,1,2,2,2,2,1,0
8,Aultmore,2,2,1,0,0,1,0,0,2,2,2,2,2
9,Balblair,2,3,2,1,0,0,2,0,2,1,2,1,2
10,Balmenach,4,3,2,0,0,2,1,3,3,0,1,2,0
11,Belvenie,3,2,1,0,0,3,2,1,0,2,2,2,0
12,BenNevis,4,2,2,0,0,2,2,0,2,2,2,2,0
13,Benriach,2,2,1,0,0,2,2,0,0,2,3,2,2
14,Benrinnes,3,2,2,0,0,3,1,1,2,3,2,2,0
15,Benromach,2,2,2,0,0,2,2,1,2,2,2,2,0
16,Bladnoch,1,2,1,0,0,0,1,1,0,2,2,3,2
17,BlairAthol,2,2,2,0,0,1,2,2,2,2,2,2,0
18,Bowmore,2,2,3,1,0,2,2,1,1,1,1,2,0
19,Bruichladdich,1,1,2,2,0,2,2,1,2,2,2,2,0
20,Bunnahabhain,1,2,1,1,0,1,1,1,1,2,2,3,2
21,Caol Ila,3,1,4,2,1,0,2,0,2,1,1,1,1
22,Cardhu,1,3,1,0,0,1,1,0,2,2,2,2,2
23,Clynelish,3,2,3,3,1,0,2,0,1,1,2,0,1
24,Craigallechie,2,2,2,0,1,2,2,1,2,2,1,4,0
25,Craigganmore,2,3,2,1,0,0,1,0,2,2,2,2,2
26,Dailuaine,4,2,2,0,0,1,2,2,2,2,2,1,0
27,Dalmore,3,2,2,1,0,1,2,2,1,2,3,1,0
28,Dalwhinnie,2,2,2,0,0,2,1,0,1,2,2,2,2
29,Deanston,2,2,1,0,0,2,1,1,1,3,2,1,0
30,Dufftown,2,3,1,1,0,0,0,0,1,2,2,2,2
31,Edradour,2,3,1,0,0,2,1,1,4,2,2,2,0
